route_id,service_type,trip_id,shape_id
22,1,11677,shp_1_22
22,1,11678,shp_1_22
22,1,11679,shp_1_22
23,1,12423,shp_1_28
23,1,12424,shp_1_28
23,1,12425,shp_1_28
23,1,12426,shp_1_28
23,1,12427,shp_1_28
23,1,12428,shp_1_28
23,1,12429,shp_1_28
23,1,12430,shp_1_28
23,1,12431,shp_1_28
23,1,12432,shp_1_28
23,1,12433,shp_1_28
23,1,12434,shp_1_28
23,1,12435,shp_1_28
23,1,12436,shp_1_28
23,1,12437,shp_1_28
23,1,12438,shp_1_28
23,1,12439,shp_1_28
23,1,12440,shp_1_28
23,1,12441,shp_1_28
23,1,12442,shp_1_28
23,1,12443,shp_1_28
23,1,12444,shp_1_28
23,1,12445,shp_1_28
23,1,12446,shp_1_28
23,1,12447,shp_1_28
23,1,12448,shp_1_28
23,1,12449,shp_1_28
23,1,12450,shp_1_28
23,1,12451,shp_1_28
23,1,12452,shp_1_28
23,1,12453,shp_1_28
23,1,12454,shp_1_28
23,1,12455,shp_1_28
23,1,12456,shp_1_28
23,1,12457,shp_1_28
23,1,12458,shp_1_28
23,1,12459,shp_1_28
23,1,12460,shp_1_28
23,1,12461,shp_1_28
23,1,12462,shp_1_28
23,1,12463,shp_1_28
23,1,12464,shp_1_28
23,1,12465,shp_1_28
23,1,12466,shp_1_28
23,1,12467,shp_1_28
23,1,12468,shp_1_28
23,1,12469,shp_1_28
23,1,12470,shp_1_28
23,1,12471,shp_1_28
23,1,12472,shp_1_28
23,1,12473,shp_1_28
23,1,12474,shp_1_28
23,1,12475,shp_1_28
23,1,12476,shp_1_28
23,1,12477,shp_1_28
23,1,12478,shp_1_28
23,1,12479,shp_1_28
23,1,12480,shp_1_28
23,1,12481,shp_1_28
23,1,12482,shp_1_28
23,1,12483,shp_1_28
23,1,12484,shp_1_28
23,1,12485,shp_1_28
23,1,12486,shp_1_28
23,1,12487,shp_1_28
23,1,12488,shp_1_28
23,1,12489,shp_1_28
23,1,12490,shp_1_28
23,1,12491,shp_1_28
23,1,12492,shp_1_28
23,1,12493,shp_1_28
23,1,12494,shp_1_28
23,1,12495,shp_1_28
23,1,12496,shp_1_28
23,1,12497,shp_1_28
23,1,12498,shp_1_28
23,1,12499,shp_1_28
23,1,12500,shp_1_28
23,1,12501,shp_1_28
23,1,12502,shp_1_28
23,1,12503,shp_1_28
23,1,12504,shp_1_28
23,1,12505,shp_1_28
23,1,12506,shp_1_28
23,1,12507,shp_1_28
23,1,12508,shp_1_28
23,1,12509,shp_1_28
23,1,12510,shp_1_28
23,1,12511,shp_1_28
23,1,12512,shp_1_28
23,1,12513,shp_1_28
23,1,12514,shp_1_28
23,1,12515,shp_1_28
23,1,12516,shp_1_28
23,1,12517,shp_1_28
23,1,12518,shp_1_28
23,1,12519,shp_1_28
23,1,12520,shp_1_28
23,1,12521,shp_1_28
23,1,12522,shp_1_28
23,1,12523,shp_1_28
23,1,12524,shp_1_28
23,1,12525,shp_1_28
23,1,12526,shp_1_28
23,1,12527,shp_1_28
23,1,12528,shp_1_28
23,1,12529,shp_1_28
23,1,12530,shp_1_28
23,1,12531,shp_1_28
23,1,12532,shp_1_28
23,1,12533,shp_1_28
23,1,12534,shp_1_28
23,1,12535,shp_1_28
23,1,12536,shp_1_28
23,1,12537,shp_1_28
23,1,12538,shp_1_28
23,1,12539,shp_1_28
23,1,12540,shp_1_28
23,1,12541,shp_1_28
23,1,12542,shp_1_28
23,1,12543,shp_1_28
23,1,12544,shp_1_28
23,1,12545,shp_1_28
23,1,12546,shp_1_28
23,1,12547,shp_1_28
23,1,12548,shp_1_28
23,1,12549,shp_1_28
23,1,12550,shp_1_28
23,1,12551,shp_1_28
23,1,12552,shp_1_28
